"ALL","TODAS"
"Add","Adicionar"
"ANY","QUALQUER"
"Apply","Aplicar"
"by","por"
"Conditions Combination","Combinação de Condições"
"contains","contém"
"Customer Groups must be specified.","Grupo de Clientes precisa ser informado."
"does not contain","não contém"
"End Date should be greater than Start Date","Data final deve ser maior que Data inicial"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"FALSE","FALSA"
"greater than","maior que"
"If %s of these conditions are %s:","Se %s condições forem %s:"
"Invalid discount amount.","Total do desconto inválido."
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menor que"
"Open Chooser","Abrir Escolha"
"Perform following actions","Executar ações seguintes"
"Please choose a condition to add...","Selecionar condição..."
"Please choose an action to add...","Selecionar ação..."
"Remove","Excluir"
"There is no information about associated entity type ""%s"".","Não há informação sobre o tipo de entidade associada ""%s""."
"to","para"
"TRUE","VERDADEIRA"
"Websites must be specified.","O campo Websites precisa ser informado."
